Temperature_K,Humidity_percent,Pressure_hPa,Altitude_m,WindDirection_deg,WindSpeed_knots
284.1,72.31,9456.2,431,143.08,14.2632
283.5,71.22,9500.7,450,160.98,12.095
283.2,69.46,9506.7,470,168.91,10.799
282.8,68.88,9511.5,482,168.91,7.905
282.4,68.37,9516.9,484,168.91,7.95
282.1,69.16,9522.2,489,170.9,8.531
282.1,71.15,9527.6,493,170.9,10.279
281.8,73.11,9532.9,497,170.9,12.473
281.8,73.16,9537.8,501,170.9,15.154
282.1,72.46,9542.8,508,172.87,17.877
282.5,71.96,9547.6,513,170.9,13.154
283.2,70.69,9552.7,520,166.86,11.069
283.4,71.16,9557.5,530,166.86,8.531
283.5,71.49,9562.6,540,166.86,10.95
283.5,71.46,9567.6,550,168.91,12.743
283.2,71.14,9572.5,559,168.91,10.279
